tokens,examples
"('procedure', 'noun')",One of the hidden glories of Victorian engineering is proper drains. Isolating a city’s effluent and shipping it away in underground sewers has probably saved more lives than any medical procedure except vaccination.
"('oxide', 'noun')",oxide
"('lis', 'None')",lis
"('wi', 'None')",wi
"('in the light of', 'preposition')",In the light of the Sun
"('a3', 'None')",a3
"('contemptuous', 'adjective')","I don't know that guy, but he just gave me a contemptuous look."
"('mobilise', 'verb')","All Whitby is mobilising against the economy plan, alleging that loss of railway facilities would turn the port into a ""ghost town""; [...]."
"('awake', 'verb')","Awake! for Morning in the Bowl of Night,Has flung the Stone that puts the Stars to Flight:And Lo! the Hunter of the East has caughtThe Sultán's Turret in a Noose of light."
"('married', 'adjective')","Synonyms:  autem, wed, wedded"
"('prerational', 'adjective')","It is hard to escape the impression that if retailers could they would find some way to hook up directly to the prerational brain — the part of us that knows nothing about common sense, budgets, late fees and interest rates — a part of the brain to which, for many of us, our cellphones have constant access."
"('earnings', 'noun')",earnings
"('somnolent', 'None')",somnolent
"('7,000', 'None')","7,000"
"('gallon', 'noun')",The pipe burst and gallons of water flooded into the kitchen.
"('susanne', 'None')",susanne
"('average', 'adjective')",The average age of the participants was 18.5.
"('less', 'None')",less
"('starting-point', 'noun')",starting-point
"('aptitude', 'noun')","Synonyms: talent, knack; see also Thesaurus:skill"
"('fun', 'adjective')",We had a fun time at the party.
"('ironically', 'adverb')","Ironically, the automated checkout system ended up costing more in repairs than the workers it was meant to replace."
"('alsace', 'None')",alsace
"('aquitaine', 'None')",aquitaine
"('vacancy', 'noun')","Whenever there is a vacancy in the office of the Vice President, the President shall nominate a Vice President who shall take office upon confirmation by a majority vote of both Houses of Congress."
"('ashgrove', 'None')",ashgrove
"('bath', 'noun')","Among the ancients, the public baths were of amazing extent and magnificence."
"('berke', 'verb')",berke
"('glueck', 'None')",glueck
"('autumn', 'noun')",In the autumn there was a row at some cement works about the unskilled labour men. A union had just been started for them and all but a few joined. One of these blacklegs was laid for by a picket and knocked out of time.
"('flow', 'verb')",Rivers flow from springs and lakes.
"('killamarsh', 'None')",killamarsh
"('biogenic', 'adjective')",biogenic
"('wheel-platform', 'noun')",wheel-platform
"('nihilism', 'noun')",Synonym: existential nihilism
"('es', 'None')",es
"('organizational', 'adjective')",He lacks organizational skills.
"('flanker', 'noun')","About two hours...they had been about the house before they prevailed to fire it  they fired it once and one ventured out and quenched it, but they quickly fired it again, and that took."
"('safely', 'adverb')","With fresh material, taxonomic conclusions are leavened by recognition that the material examined reflects the site it occupied; a herbarium packet gives one only a small fraction of the data desirable for sound conclusions. Herbarium material does not, indeed, allow one to extrapolate safely: what you see is what you get […]"
"('composition', 'noun')","Ste. What do'st thou know me for? Kent. A Knave, a Rascall, [...] one that would'st be a Baud in way of good service, and art nothing but the composition of a Kave, Begger, Coward, Pandar, and the Sonne and Heire of a Mungrill Bitch, one whom I will beate in to clamours whining, if thou deny'st the least sillable of thy addition."
"('abwehr', 'noun')",abwehr
"('shrub', 'noun')","It is not only in face-to-face contexts that Kenyans police shrubbing; there are newspaper columns inviting readers to send in shrubs that they have witnessed,  […]"
"('5,000', 'None')","5,000"
"('shopping', 'noun')",On Saturdays we usually do the shopping.
"('niece', 'noun')",My niece just celebrated her 15th birthday.
"('embarrassed', 'adjective')","After returning from the pool, Aleshia felt significantly better, though she was still slightly embarrassed."
"('sizeable', 'adjective')","City look stronger, fitter and more motivated than last season and even at this early stage the gap feels like a sizeable advantage."
"('millet', 'noun')","[…]  Tobias said, ‘Don't bother. Elena's allergic to all known food groups. The only thing she eats here is seasoned millet and rainwater they bring down from Vermont in a zinc can.’"
"('mattli', 'None')",mattli
"('conduct', 'noun')","Synonyms: control, guidance, management"
"('curtly', 'adverb')","She greeted me with a bright smile, and said: “Back already? Did you find it?” With a strong effort I mastered my emotion and replied curtly but civilly that the answer was in the negative. “No,” I said, “I did not find it.”"
"('diet', 'verb')","they will diet themselves, feed and live alone."
"('honest', 'adjective')",We’re the most honest people you will ever come across.
"('radical', 'adjective')",His beliefs are radical.
"('there', 'adverb')","And in a dark and dankish vault at home / There left me and my man, both bound together;"
"('psychotic', 'adjective')",She suffered psychotic episodes during which she believed herself to be spied upon by light bulbs.
"('nationally', 'adverb')",The speech was televised nationally.
"('imagination', 'noun')",Imagination is one of the most advanced human faculties.
"('inconsistent', 'adjective')",Antonym: consistent
"('restrictively', 'adverb')",restrictively
"('topsail', 'noun')",topsail
"('show', 'noun')",There were a thousand people at the show.
"('seal', 'verb')",They're organizing a protest against sealing.
"('limoges', 'None')",limoges
"('quantum', 'noun')","The reader will perhaps be curious to know the quantum of this present, but we cannot satisfy his curiosity."
"('tex-mex', 'None')",tex-mex
"('ring', 'verb')",The inner city was ringed with dingy industrial areas.
"('inspect', 'verb')",Inspect the system for leaks.
"('bind', 'verb')",They that reap must sheaf and bind.
"('motive', 'noun')","there's something in a woman beyond all human delight; a magnetic virtue, a charming quality, an occult and powerful motive."
"('farmstead', 'noun')",farmstead
"('longest', 'adverb')",longest
"('deprivation', 'noun')","Outside the boundaries of the PTEs [Passenger Transport Executives], there was little mechanism to re-open routes, and despite a growing realisation that the lack of transport connectivity was a big contributor towards social deprivation and poor economic performance, there was little government policy recognition."
"('overhear', 'verb')",I was hanging clothes in the garden and I overheard the neighbours talking about Sheila's pregnancy.
"('claire', 'None')",claire
"('motor-racing', 'adjective')",motor-racing
"('skull', 'noun')","He was about to roar when, lying among the black sticks and straw under the cliff, he saw a whole skull—perhaps a cow's skull, a skull, perhaps, with the teeth in it. Sobbing, but absent-mindedly, he ran farther and farther away until he held the skull in his arms."
"('housing', 'noun')",She lives in low-income housing.
"('bubble', 'verb')",The laminate is bubbling.
"('raccoon', 'noun')","Before a fire upon a seat like a bedsted, he sat covered with a great robe, made of Rarowcun skinnes, and all the tayles hanging by."
"('car', 'noun')","Synonyms: auto, motorcar, vehicle,  automobile,  motor,  carriage; see also Thesaurus:automobile"
"('guts', 'noun')","Synonyms: entrails, guttings, innards, insides, viscera"
"('württemberg', 'None')",württemberg
"('larksoken', 'None')",larksoken
"('fer', 'preposition')","“[…] Them rich fellers, they don't make no bad breaks with their money. They watch it all th' time b'cause they know blame well there ain't hardly room fer their feet fer th' pikers an' tin-horns an' thimble-riggers what are layin' fer 'em. […]”"
